2.0698,13.125,20.747,-26.076,-59.229,89.165,54.276,81.859,53.088,72.627,40.316,35.941,30.067,28.946,30.022,31.891,34.064,36.392,-31.366,-3.5484,18.297,33.206,5.7335,1.7487,0
1.8436,12.97,20.533,-27.386,-59.956,88.849,53.563,81.927,46.178,87.33,39.876,34.652,29.067,28.163,29.346,31.289,33.528,35.922,-29.976,-2.3267,18.871,33.39,4.4089,1.1852,0
1.6293,12.816,20.316,-28.672,-60.658,88.575,52.89,81.999,32.657,-27.31,39.281,33.405,28.113,27.409,28.694,30.709,33.009,35.472,-28.626,-1.1887,19.415,33.564,3.16,0.65162,0
1.4257,12.663,20.096,-29.934,-61.338,88.335,52.252,82.074,11.365,87.369,38.583,32.203,27.203,26.684,28.063,30.148,32.508,35.044,-27.315,-0.12304,19.933,33.728,1.9767,0.14141,0
1.2313,12.51,19.87,-31.173,-61.997,88.126,51.647,82.155,22.56,57.624,37.81,31.041,26.33,25.982,27.453,29.604,32.023,34.629,-26.041,0.88,20.429,33.884,0.86701,-0.3467,0
1.0459,12.358,19.645,-32.39,-62.636,87.944,51.071,82.245,52.239,24.279,36.989,29.923,25.49,25.306,26.863,29.079,31.557,34.235,-24.721,1.8285,20.904,34.032,-0.18291,-0.81368,0
0.86861,12.206,19.415,-33.585,-63.256,87.784,50.522,82.234,81.102,25.716,36.118,28.836,24.685,24.651,26.291,28.57,31.107,33.859,-23.117,2.7292,21.361,34.173,-1.1933,-1.2616,0
0.69784,12.054,19.181,-34.759,-63.858,87.646,49.997,82.192,-66.566,26.337,35.227,27.799,23.908,24.017,25.737,28.078,30.671,33.503,-21.613,3.5878,21.802,34.308,-2.1427,-1.6929,0
0.53475,11.901,18.94,-35.913,-64.443,87.525,49.494,82.18,-25.764,26.531,34.316,26.793,23.157,23.402,25.2,27.599,30.251,33.164,-20.191,4.4092,22.229,34.437,-3.043,-2.1068,0
0.37721,11.747,18.699,-37.047,-65.013,87.421,49.012,82.176,80.65,26.448,33.38,25.822,22.433,22.807,24.678,27.137,29.845,32.846,-18.842,5.1974,22.642,34.561,-3.9025,-2.504,0
0.22596,11.592,18.451,-38.162,-65.567,87.33,48.548,82.177,-33.773,26.157,32.451,24.883,21.732,22.228,24.172,26.689,29.455,32.546,-17.555,5.9561,23.044,34.681,-4.7195,-2.8877,0
0.079703,11.437,18.198,-39.258,-66.108,87.252,48.101,82.18,-37.845,25.706,31.508,23.973,21.054,21.665,23.68,26.255,29.078,32.267,-16.326,6.6882,23.435,34.796,-5.4966,-3.2563,0
-0.060949,11.28,17.939,-40.336,-66.635,87.185,47.67,82.186,-22.984,25.122,30.571,23.09,20.394,21.119,23.202,25.833,28.715,32.002,-15.147,7.3964,23.817,34.907,-6.2391,-3.6131,0
